"No","Nama Program","IPTA","Kod Program","Tahun","Purata Merit","Tags","Syarat Am","Syarat Khas","Info"
"11","ASASI KEJURURAWATAN","Universiti Islam Antarabangsa Malaysia","UY0000004","2026","84.01%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Kimia / Fizik / Biologi ATAU Mendapat sekurang-kurangnya Gred A dalam SATU (1) mata pelajaran berikut : • Sains ATAU Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Sains Tambahan Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0913 Kejururawatan, Perbidanan Dan Pembantu Perubatan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 84.01% Catatan: Tidak Berkenaan"
"12","ASASI KEJURUTERAAN","Universiti Teknologi Mara","UE0520001","2026","86.64%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred A- dalam SATU (1) mata pelajaran DAN Gred B dalam TIGA (3) mata pelajaran berikut : • Fizik / Matematik Tambahan / Kimia / Matematik Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 86.64% Catatan: Tidak Berkenaan"
"13","ASASI KEJURUTERAAN","Universiti Islam Antarabangsa Malaysia","UY0520001","2026","85.99%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam TIGA (3) mata pelajaran berikut : • Matematik Tambahan • Kimia • Fizik Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0710 Kejuruteraan Dan Tred Kejuruteraan Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 85.99% Catatan: Tidak Berkenaan"
"14","ASASI KEJURUTERAAN & TEKNOLOGI - UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH","Mara, Bahagian Pendidikan Tinggi","OM0520001","2026","96.84%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred A- dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred A- dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia Mendapat sekurang-kurangnya Gred B dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0710 Kejuruteraan Dan Tred Kejuruteraan Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 96.84% Catatan: Tidak Berkenaan"
"15","ASASI KEJURUTERAAN & TEKNOLOGI - UNIVERSITI TEKNOLOGI MALAYSIA","Mara, Bahagian Pendidikan Tinggi","OM0520002","2026","98.50%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred A- dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred A- dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia Mendapat sekurang-kurangnya Gred B dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0710 Kejuruteraan Dan Tred Kejuruteraan Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 98.50% Catatan: Tidak Berkenaan"
"16","ASASI KEJURUTERAAN DAN TEKNOLOGI","Universiti Pertahanan Nasional Malaysia","UZ0520001","2026","83.19%","Program Perintis (Feeder), STEM","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Matematik Tambahan / Matematik Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Sains / Sains Komputer / Fizik Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Taraf Perkahwinan : Bujang","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0710 Kejuruteraan Dan Tred Kejuruteraan Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 83.19% Catatan: Syarat-syarat lain yang ditetapkan oleh Senat dari semasa ke semasa."
"17","ASASI PENGAJIAN ISLAM","Universiti Malaya","UM0221002","2026","90.55%","Program Perintis (Feeder)","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Turath Bahasa Arab / Al-lughah Al-arabiah Al-mu'asirah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Turath Dirasat Islamiah • Pendidikan Al-quran Dan Al-sunnah / Al-syariah / Turath Al-quran Dan Al-sunnah / Maharat Al Quran • Pendidikan Syari'ah Islamiah / Hifz Al Quran / Usul Al-din • Tasawwur Islam • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam TIGA (3) mata pelajaran berikut : • Fizik • Kimia • Biologi • Matematik Tambahan • Pertanian • Sains Komputer • Geografi • Matematik • Sains Tambahan / Asas Kelestarian / Sains Rumah Tangga • Prinsip Perakaunan / Ekonomi / Perniagaan / Kesusasteraan Melayu Komunikatif / Kesusasteraan Inggeris / Pengajian Keusahawanan ATAU Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Pendidikan Islam / Turath Dirasat Islamiah • Pendidikan Al-quran Dan Al-sunnah / Al-syariah / Turath Al-quran Dan Al-sunnah / Maharat Al Quran • Pendidikan Syari'ah Islamiah / Hifz Al Quran / Usul Al-din • Tasawwur Islam • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Sains / Sains Tambahan • Kesusasteraan Melayu Komunikatif • Geografi • Matematik • Sains Komputer • Pengajian Keusahawanan • Pertanian • Perniagaan • Ekonomi • Prinsip Perakaunan • Kesusasteraan Inggeris • Asas Kelestarian • Sains Rumah Tangga","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0221 Agama Dan Teologi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 90.55% Catatan: Tidak Berkenaan"
"18","ASASI PENGAJIAN ISLAM DAN SAINS","Universiti Malaya","UM0221001","2026","86.44%","Program Perintis (Feeder)","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam EMPAT (4) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Turath Bahasa Arab / Al-lughah Al-arabiah Al-mu'asirah • Bahasa Inggeris • Matematik • Matematik Tambahan Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Turath Dirasat Islamiah / Pendidikan Islam • Maharat Al Quran / Pendidikan Al-quran Dan Al-sunnah / Al-syariah / Turath Al-quran Dan Al-sunnah • Usul Al-din / Pendidikan Syari'ah Islamiah / Hifz Al Quran • Tasawwur Islam • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam TIGA (3) mata pelajaran berikut : • Fizik • Kimia • Biologi • Pertanian / Sains Komputer / Lukisan Kejuruteraan / Asas Kelestarian / Grafik Komunikasi Teknikal / Sains Rumah Tangga • Prinsip Perakaunan / Ekonomi / Perniagaan / Geografi / Kesusasteraan Melayu Komunikatif / Kesusasteraan Inggeris / Pengajian Keusahawanan","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0221 Agama Dan Teologi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 86.44% Catatan: Tidak Berkenaan"
"19","ASASI PENGKOMPUTERAN","Universiti Malaysia Sarawak","UW0010003","2026","83.74%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam TIGA (3) mata pelajaran berikut : • Matematik • Bahasa Inggeris • Sains / Sains Komputer / Sains Tambahan / Fizik / Biologi / Kimia / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Reka Bentuk Grafik / Produksi Multimedia / Grafik Komunikasi Teknikal / Reka Cipta / Sinografi / Seni Halus 3d Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum dikira tidak termasuk mata pelajaran berikut : • Bahasa Melayu • Sejarah Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 83.74% Catatan: Tidak Berkenaan"
"20","ASASI PENGURUSAN DAN STRATEGI","Universiti Pertahanan Nasional Malaysia","UZ0345001","2026","79.03%","Program Perintis (Feeder)","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Matematik Tambahan / Matematik Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Geografi / Sejarah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Taraf Perkahwinan : Bujang","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0414 Pengurusan Dan Pentadbiran Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 79.03% Catatan: Syarat-syarat lain yang ditetapkan oleh Senat dari semasa ke semasa."
"21","ASASI PERGIGIAN","Universiti Islam Antarabangsa Malaysia","UY0000019","2026","96.05%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Biologi. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0911 Pengajian Pergigian Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 96.05% Catatan: Tidak Berkenaan"
"22","ASASI PERUBATAN","Universiti Islam Antarabangsa Malaysia","UY0000018","2026","96.29%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Biologi. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0912 Perubatan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 96.29% Catatan: Tidak Berkenaan"
"23","ASASI PERUBATAN","Universiti Pertahanan Nasional Malaysia","UZ0721001","2026","92.15%","Program Perintis (Feeder), STEM","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Biologi. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Matematik Tambahan / Matematik Mendapat sekurang-kurangnya Gred B dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Taraf Perkahwinan : Bujang","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0912 Perubatan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 92.15% Catatan: Syarat-syarat lain yang ditetapkan oleh Senat dari semasa ke semasa."
"24","ASASI PERUBATAN DAN SAINS KESIHATAN","Universiti Sultan Zainal Abidin","UD0010001","2026","90.98%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C+ dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam LIMA (5) mata pelajaran berikut : • Biologi • Kimia • Fizik • Matematik / Matematik Tambahan • Pendidikan Islam / Pendidikan Syari'ah Islamiah / Pendidikan Al-quran Dan Al-sunnah / Tasawwur Islam / Usul Al-din / Al-syariah / Manahij Al-'ulum Al-islamiah / Al-adab Wa Al-balaghah / Hifz Al Quran / Maharat Al Quran Mendapat sekurang-kurangnya Gred B dalam mana-mana SATU (1) mata pelajaran yang belum dikira tidak termasuk mata pelajaran berikut : • Bahasa Melayu Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 90.98% Catatan: Tidak Berkenaan"
"25","ASASI SAINS","Universiti Teknologi Mara","UE0545001","2026","88.44%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred A- dalam SATU (1) mata pelajaran DAN Gred B dalam TIGA (3) mata pelajaran berikut : • Fizik / Kimia / Biologi / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 88.44% Catatan: Tidak Berkenaan"
"26","ASASI SAINS","Universiti Malaysia Sabah","UH0010001","2026","78.97%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Fizik • Kimia • Biologi • Sains Tambahan / Grafik Komunikasi Teknikal / Asas Kelestarian / Pertanian / Sains Rumah Tangga / Reka Cipta / Sains Komputer / Sains Sukan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 78.97% Catatan: Tidak Berkenaan"
"27","ASASI SAINS","Universiti Malaysia Kelantan","UL0010001","2026","77.78%","Program Perintis (Feeder), STEM","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam EMPAT (4) mata pelajaran DAN Gred D dalam SATU (1) mata pelajaran berikut : • Biologi / Kimia / Fizik / Matematik Tambahan / Matematik / Sains Tambahan / Bahasa Inggeris / Asas Kelestarian / Reka Cipta / Sains Komputer / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Mekanikal / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Pendidikan Seni Visual / Prinsip Perakaunan / Pertanian Calon hendaklah berumur diantara17 tahun hingga 20 tahun semasa mengemukakan permohonan.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 77.78% Catatan: Tidak Berkenaan"
"28","ASASI SAINS FIZIKAL","Universiti Malaya","UM0440001","2026","95.06%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred A- dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 95.06% Catatan: Tidak Berkenaan"
